year,country,GNI,female_mortality,male_mortality,infant_mortality,expenditure,physicians,rural,school,urban,Development
1994,Cambodia,NA,269.3558,340.3912,86.8,NA,0.104800001,83.042,1.3825,16.958,Undeveloped
1995,Cambodia,300,260.5062,330.6038,87.6,83.01038303,NA,82.689,1.39115,17.311,Undeveloped
1996,Cambodia,310,251.6566,320.8164,88.3,67.56584923,NA,82.434,1.69104,17.566,Undeveloped
1997,Cambodia,320,242.807,311.029,88.4,72.19191539,NA,82.179,1.28296,17.821,Undeveloped
1998,Cambodia,290,236.1,301.902,87.6,81.57010384,0.297,81.924,1.18499,18.076,Undeveloped
1999,Cambodia,290,229.393,292.775,85.5,86.9086101,0.296,81.669,NA,18.331,Undeveloped
2000,Cambodia,300,222.686,283.648,81.6,89.57976849,0.16,81.414,2.49329,18.586,Undeveloped
2001,Cambodia,310,215.979,274.521,75.9,87.93389188,NA,81.2964,2.36669,18.7036,Undeveloped
2002,Cambodia,320,209.272,265.394,69,89.5439404,NA,81.1788,2.45063,18.8212,Undeveloped
2003,Cambodia,350,202.4306,257.2192,62.3,86.69835201,NA,81.0612,2.85997,18.9388,Undeveloped
2004,Cambodia,400,195.5892,249.0444,56.6,84.02886461,NA,80.9436,2.76059,19.0564,Undeveloped
2005,Cambodia,460,188.7478,240.8696,51.9,77.65130993,NA,80.826,3.32616,19.174,Undeveloped
2006,Cambodia,520,181.9064,232.6948,48,72.88375503,NA,80.698,5.59144,19.302,Undeveloped
2007,Cambodia,580,175.065,224.52,44.6,70.37484669,NA,80.57,7.25094,19.43,Undeveloped
2008,Cambodia,660,171.4214,221.834,41.8,75.88503401,0.227,80.442,9.08014,19.558,Undeveloped
2009,Cambodia,690,167.7778,219.148,39.3,75.94800753,NA,80.314,11.72333,19.686,Undeveloped
2010,Cambodia,740,164.1342,216.462,37.3,79.51692151,0.23,80.186,14.0676,19.814,Undeveloped
2011,Cambodia,800,160.4906,213.776,35.5,80.27600659,NA,79.997,15.83411,20.003,Undeveloped
